MakeDate,Month,Year,Housetype,Active listing,Sales,Benchmark price,Average day on market,Cases_Reported,Deaths,hospitalizations,ICU admissions,Previous year listing,Previous year sales,Previous years Benchmark price,Previous year average day
12/1/2021,12,2021,D,2260,794,1910200,38,25450,22,349,50,2913,1026,1554600,50
12/1/2021,12,2021,T,569,430,1004900,24,25450,22,349,50,1176,593,813900,32
12/1/2021,12,2021,A,2407,1464,761800,29,25450,22,349,50,4449,1474,676500,40
11/1/2021,11,2021,D,2918,987,1870000,37,5305,84,435,92,3806,1061,1538900,42
11/1/2021,11,2021,T,825,613,990300,24,5305,84,435,92,1578,632,814800,35
11/1/2021,11,2021,A,3401,1828,752800,26,5305,84,435,92,5734,1371,676500,34
10/1/2021,10,2021,D,3244,1090,1850500,32,8879,81,586,133,4324,1335,1523800,38
10/1/2021,10,2021,T,936,603,975000,21,8879,81,586,133,1797,782,813000,29
10/1/2021,10,2021,A,3854,1801,746400,25,8879,81,586,133,6295,1570,683500,32
9/1/2021,9,2021,D,3729,950,1828200,33,9239,78,475,121,4647,1317,1507500,40
9/1/2021,9,2021,T,1089,578,963800,23,9239,78,475,121,2021,730,809900,33
9/1/2021,9,2021,A,4418,1621,738600,27,9239,78,475,121,6428,1596,683500,32
8/1/2021,8,2021,D,3736,945,1807100,35,6351,13,334,103,4614,1095,1491300,38
8/1/2021,8,2021,T,1113,576,952600,26,6351,13,334,103,2036,620,806400,34
8/1/2021,8,2021,A,4156,1631,735100,28,6351,13,334,103,6153,1332,685800,32
7/1/2021,7,2021,D,4113,1050,1801100,30,1042,6,57,8,4460,1121,1477800,41
7/1/2021,7,2021,T,1276,610,949400,20,1042,6,57,8,1954,607,797700,33
7/1/2021,7,2021,A,4461,1666,736900,24,1042,6,57,8,5669,1400,682500,31
6/1/2021,6,2021,D,4581,1262,1801100,23,2156,40,229,41,4360,866,1464200,45
6/1/2021,6,2021,T,1477,726,946900,16,2156,40,229,41,1872,472,790800,37
6/1/2021,6,2021,A,4781,1774,737600,21,2156,40,229,41,5192,1105,680800,32
5/1/2021,5,2021,D,4769,1430,1800600,19,11364,68,722,144,3949,534,1456700,45
5/1/2021,5,2021,T,1488,800,936300,16,11364,68,722,144,1576,298,792700,39
5/1/2021,5,2021,A,4713,2049,737100,19,11364,68,722,144,4402,653,686500,35
4/1/2021,4,2021,D,4426,1655,1755500,17,22532,68,1191,299,3863,388,1462100,44
4/1/2021,4,2021,T,1378,964,900900,18,22532,68,1191,299,1481,218,796800,32
4/1/2021,4,2021,A,4441,2289,729600,24,22532,68,1191,299,4045,503,685500,29
3/1/2021,3,2021,D,3713,1965,1700200,27,14792,83,684,185,4031,852,1450700,43
3/1/2021,3,2021,T,1309,1046,872200,19,14792,83,684,185,1494,493,791800,30
3/1/2021,3,2021,A,4123,2697,715800,28,14792,83,684,185,4081,1179,687000,29
2/1/2021,2,2021,D,2948,1231,1621200,39,9113,73,361,75,3959,685,1433900,46
2/1/2021,2,2021,T,1192,737,839800,22,9113,73,361,75,1504,404,785000,32
2/1/2021,2,2021,A,4218,1759,697500,33,9113,73,361,75,3732,1061,677200,31
1/1/2021,1,2021,D,2809,740,1576800,51,9416,160,450,96,3799,439,1431200,69
1/1/2021,1,2021,T,1206,454,815800,34,9416,160,450,96,1407,318,782500,58
1/1/2021,1,2021,A,4291,1195,680800,44,9416,160,450,96,3411,814,663200,43
12/1/2020,12,2020,D,2913,1026,1554600,50,14303,308,628,328,3941,599,1423500,65
12/1/2020,12,2020,T,1176,593,813900,32,14303,308,628,328,1418,364,778400,51
12/1/2020,12,2020,A,4449,1474,676500,40,14303,308,628,328,3244,1053,656700,48
11/1/2020,11,2020,D,3806,1061,1538900,42,16375,168,651,121,4786,825,1415400,57
11/1/2020,11,2020,T,1578,632,814800,35,16375,168,651,121,1812,451,772800,42
11/1/2020,11,2020,A,5734,1371,676500,34,16375,168,651,121,4172,1222,651500,44
10/1/2020,10,2020,D,4324,1335,1523800,38,5409,22,224,50,5419,938,1410500,55
10/1/2020,10,2020,T,1797,782,813000,29,5409,22,224,50,2047,536,771600,43
10/1/2020,10,2020,A,6295,1570,683500,32,5409,22,224,50,4770,1384,652500,41
9/1/2020,9,2020,D,4647,1317,1507500,40,2830,22,200,63,5883,745,1406200,58
9/1/2020,9,2020,T,2021,730,809900,33,2830,22,200,63,2233,422,767500,45
9/1/2020,9,2020,A,6428,1596,683500,32,2830,22,200,63,5323,1166,651500,43
8/1/2020,8,2020,D,4614,1095,1491300,38,1867,16,75,26,5904,706,1406700,55
8/1/2020,8,2020,T,2036,620,806400,34,1867,16,75,26,2223,409,771900,44
8/1/2020,8,2020,A,6153,1332,685800,32,1867,16,75,26,5269,1116,654000,42
7/1/2020,7,2020,D,4460,1121,1477800,41,514,8,50,12,6218,841,1417000,48
7/1/2020,7,2020,T,1954,607,797700,33,514,8,50,12,2369,473,770000,41
7/1/2020,7,2020,A,5669,1400,682500,31,514,8,50,12,5653,1243,653200,37
6/1/2020,6,2020,D,4360,866,1464200,45,305,7,203,59,6518,746,1423500,48
6/1/2020,6,2020,T,1872,472,790800,37,305,7,203,59,2470,390,774700,34
6/1/2020,6,2020,A,5192,1105,680800,32,305,7,203,59,5980,941,654700,36
5/1/2020,5,2020,D,3949,534,1456700,45,380,35,885,202,6416,913,1421900,45
5/1/2020,5,2020,T,1576,298,792700,39,380,35,885,202,2392,419,779400,36
5/1/2020,5,2020,A,4402,653,686500,35,380,35,885,202,5877,1246,664200,34
4/1/2020,4,2020,D,3863,388,1462100,44,833,77,1846,678,6236,586,1437100,52
4/1/2020,4,2020,T,1481,218,796800,32,833,77,1846,678,2325,358,783300,33
4/1/2020,4,2020,A,4045,503,685500,29,833,77,1846,678,5796,885,656900,33
3/1/2020,3,2020,D,4031,852,1450700,43,712,177,1182,207,5649,529,1437100,46
3/1/2020,3,2020,T,1494,493,791800,30,712,177,1182,207,2049,325,783600,39
3/1/2020,3,2020,A,4081,1179,687000,29,712,177,1182,207,5076,873,656900,37
